pair_id,tenor_label,green_isin,conv_isin,coupon,maturity,first_issue,initial_green_amount_eur_bn,isin_verified,source_url
green_2025_5y,5Y Green Bobl,DE0001030716,DE0001141828,0.0,2025-10-10,2020-11-04,5.0,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2027_5y,5Y Green Bobl,DE0001030740,DE0001141869,1.3,2027-10-15,2022-09-05,5.0,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2029_5y,5Y Green Bobl,DE000BU35025,DE000BU25026,2.1,2029-04-12,2024-04-30,3.0,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2030_10y,10Y Green Bund,DE0001030708,DE0001102507,0.0,2030-08-15,2020-09-07,6.5,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2031_10y,10Y Green Bund,DE0001030732,DE0001102564,0.0,2031-08-15,2021-09-08,3.5,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2033_10y,10Y Green Bund,DE000BU3Z005,DE000BU2Z007,2.3,2033-02-15,2023-04-28,5.25,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2035_10y,10Y Green Bund,DE000BU3Z047,DE000BU2Z049,2.5,2035-02-15,2025-04-08,3.0,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2041_15y,15Y Green Bund,DE000BU3F007,DE000BU2F009,2.6,2041-05-15,2026-03-06,4.0,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2050_29y,29Y Green Bund,DE0001030724,DE0001102481,0.0,2050-08-15,2021-05-14,6.0,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
green_2053_30y,30Y Green Bund,DE0001030757,DE0001102614,1.8,2053-08-15,2023-06-16,4.5,True,https://www.bundesbank.de/dynamic/action/en/service/federal-securities/prices-and-yields/810710/prices-and-yields-of-listed-federal-securities
